# Слова, снятые с показа 31.07.2026 по решению владельца.
# Разбор: словник прогнали через проверку «знает ли обычный русскоязычный
# взрослый это слово по-русски и сталкивался ли он с этой вещью».
# Формат: слово<TAB>причина<TAB>перевод, который стоял в базе.

# ── экзотика: 36
Alm	вещь, которой обычный человек не видел	альпийский луг
Aue	вещь, которой обычный человек не видел	пойма реки
Avenue	вещь, которой обычный человек не видел	авеню
Bracke	вещь, которой обычный человек не видел	гончая (порода собаки)
Dämpfeinsatz	вещь, которой обычный человек не видел	вставка-пароварка
Elektroraspel	вещь, которой обычный человек не видел	электрическая тёрка
Frittierkorb	вещь, которой обычный человек не видел	корзина для фритюра
Goji-Beere	вещь, которой обычный человек не видел	ягода годжи
Granadilla	вещь, которой обычный человек не видел	гранади́лла
Guave	вещь, которой обычный человек не видел	гуава
Iglu	вещь, которой обычный человек не видел	иглу
Jersey	вещь, которой обычный человек не видел	джерси (трикотажная кофта)
Jostabeere	вещь, которой обычный человек не видел	йошта
Kaktusfeige	вещь, которой обычный человек не видел	кактусовая груша
Klamm	вещь, которой обычный человек не видел	ущелье
Laute	вещь, которой обычный человек не видел	люта
Litschi	вещь, которой обычный человек не видел	личи
Maibeere	вещь, которой обычный человек не видел	жимолость
Mispel	вещь, которой обычный человек не видел	мушмула
Mulch	вещь, которой обычный человек не видел	мульча
Muskatreibe	вещь, которой обычный человек не видел	терка для муската
Münster	вещь, которой обычный человек не видел	главный собор
Obelisk	вещь, которой обычный человек не видел	обелиск
Pentagon	вещь, которой обычный человек не видел	пятиугольник
Pfarrhaus	вещь, которой обычный человек не видел	дом пастора
Reneklode	вещь, которой обычный человек не видел	ренклод (слива)
Salatschleuder	вещь, которой обычный человек не видел	центрифуга для салата
Schöpfgerät	вещь, которой обычный человек не видел	черпак
Spaghettiheber	вещь, которой обычный человек не видел	лопатка для спагетти
Spencer	вещь, которой обычный человек не видел	спенсер (безрукавка)
Splitt	вещь, которой обычный человек не видел	дроблёный камень, отсев
Stachelannone	вещь, которой обычный человек не видел	аннона
Stößel	вещь, которой обычный человек не видел	пестик
Taft	вещь, которой обычный человек не видел	тафта
Tape	вещь, которой обычный человек не видел	лента
Trepang	вещь, которой обычный человек не видел	трепанг

# ── термин: 90
Abgang	узкий профессиональный или научный термин	уход/сведение звука
Alt	узкий профессиональный или научный термин	альт (голос)
Anker	узкий профессиональный или научный термин	анкер
Ansatz	узкий профессиональный или научный термин	амбушюр
Anschlag	узкий профессиональный или научный термин	удар (по клавише/струне)
Ar	узкий профессиональный или научный термин	ар (единица площади)
Aufwachraum	узкий профессиональный или научный термин	палата пробуждения
Augenhöhle	узкий профессиональный или научный термин	глазница
Ausgang	узкий профессиональный или научный термин	уход (средств)
BIC	узкий профессиональный или научный термин	код банка BIC
Basis	узкий профессиональный или научный термин	основание (степени, геом.)
Becken	узкий профессиональный или научный термин	тарелки (муз. инструмент)
Begleiter	узкий профессиональный или научный термин	аккомпаниатор
Begleitung	узкий профессиональный или научный термин	аккомпанемент
Bindung	узкий профессиональный или научный термин	связка (ноты)
Biochemie	узкий профессиональный или научный термин	биохимия
Biopsie	узкий профессиональный или научный термин	биопсия
Blutkörperchen	узкий профессиональный или научный термин	кровяное тельце
Blutwert	узкий профессиональный или научный термин	показатель крови
Blutzelle	узкий профессиональный или научный термин	клетка крови
Bogen	узкий профессиональный или научный термин	отвод (трубы)
Bridge	узкий профессиональный или научный термин	мост (устройство в сети)
Bänder	узкий профессиональный или научный термин	связки
Dorn	узкий профессиональный или научный термин	кернер, шило
Durchlass	узкий профессиональный или научный термин	пропускное сооружение
Durchlauf	узкий профессиональный или научный термин	проход, цикл
Einzug	узкий профессиональный или научный термин	инкассо, взимание
Elle	узкий профессиональный или научный термин	локтевая кость
Feldwebel	узкий профессиональный или научный термин	фельдфебель (полицейский чин)
Fell	узкий профессиональный или научный термин	мембрана (барабанная)
Flughöhe	узкий профессиональный или научный термин	высота полёта
Frostbeule	узкий профессиональный или научный термин	отморожение
Gerade	узкий профессиональный или научный термин	прямая (линия)
Hall	узкий профессиональный или научный термин	реверберация
Hupe	узкий профессиональный или научный термин	гудок (муз. элемент)
Infusion	узкий профессиональный или научный термин	инфузия
Kaliber	узкий профессиональный или научный термин	механизм часов
Kelch	узкий профессиональный или научный термин	чашечка (цветка)
Kern	узкий профессиональный или научный термин	кернер
Klassik	узкий профессиональный или научный термин	классика (наука о древности)
Lab	узкий профессиональный или научный термин	сычужный фермент
Lauf	узкий профессиональный или научный термин	пробег по нотам
Legende	узкий профессиональный или научный термин	легенда (пояснение к схемам)
Lehre	узкий профессиональный или научный термин	шаблон, калибр, мера
Lesen	узкий профессиональный или научный термин	чтение (урок)
Linse	узкий профессиональный или научный термин	хрусталик
Meißel	узкий профессиональный или научный термин	резец
Messwert	узкий профессиональный или научный термин	измеренное значение
Moment	узкий профессиональный или научный термин	фактор; момент (силы)
Narbe	узкий профессиональный или научный термин	рыльце (бот.)
Narbengewebe	узкий профессиональный или научный термин	рубцовая ткань
Netzhaut	узкий профессиональный или научный термин	сетчатка
Neuron	узкий профессиональный или научный термин	нейрон
Oboe	узкий профессиональный или научный термин	гобой
Passage	узкий профессиональный или научный термин	проход (муз.)
Pauke	узкий профессиональный или научный термин	литавра
Polier	узкий профессиональный или научный термин	прораб
Quadrant	узкий профессиональный или научный термин	квадрант
Rausch	узкий профессиональный или научный термин	шум (электр.), гул
Rauschen	узкий профессиональный или научный термин	шум (фоновой)
Register	узкий профессиональный или научный термин	реестр/перфорация-разделитель
Reiter	узкий профессиональный или научный термин	подвижная подставка (на струне)
Relais	узкий профессиональный или научный термин	реле
Sattel	узкий профессиональный или научный термин	верхний порожек (на грифе)
Satz	узкий профессиональный или научный термин	часть (произведения)
Schalte	узкий профессиональный или научный термин	включение (прямое включение)
Schaltkreis	узкий профессиональный или научный термин	электрическая схема
Schnittstelle	узкий профессиональный или научный термин	интерфейс
Schock	узкий профессиональный или научный термин	шок (мед.)
Schätzung	узкий профессиональный или научный термин	оценка (налоговая)
Sehne	узкий профессиональный или научный термин	хорда (математика)
Sepsis	узкий профессиональный или научный термин	сепсис
Soli	узкий профессиональный или научный термин	надбавка солидарности
Sorten	узкий профессиональный или научный термин	наличная валюта
Spiegelung	узкий профессиональный или научный термин	эндоскопия
Spore	узкий профессиональный или научный термин	спора
Stimmung	узкий профессиональный или научный термин	настройка (муз. инструмент)
Stäbchen	узкий профессиональный или научный термин	палочка (сетчатки)
Stütze	узкий профессиональный или научный термин	опора дыхания
Sucher	узкий профессиональный или научный термин	поисковик (устройство поиска)
Synapse	узкий профессиональный или научный термин	синапс
TAN	узкий профессиональный или научный термин	одноразовый пароль (ТАН)
Wechsel	узкий профессиональный или научный термин	вексель
Widerstand	узкий профессиональный или научный термин	резистор / сопротивление
Wirbel	узкий профессиональный или научный термин	позвонок
Wurzel	узкий профессиональный или научный термин	корень (носа и т.п.)
Zapfen	узкий профессиональный или научный термин	колбочка (сетчатки)
Zwerchfell	узкий профессиональный или научный термин	диафрагма
Zwinge	узкий профессиональный или научный термин	струбцина
Übertrag	узкий профессиональный или научный термин	перевод (денег)

# ── деталь: 22
Aufsatz	мелкая часть предмета, в быту отдельно не называется	сменная насадка (например, для кастрюли)
Automat	мелкая часть предмета, в быту отдельно не называется	автомат (выключатель)
Außenwand	мелкая часть предмета, в быту отдельно не называется	наружная стена
Fahrgestell	мелкая часть предмета, в быту отдельно не называется	шасси
Fenstergriff	мелкая часть предмета, в быту отдельно не называется	ручка окна
Fensterrahmen	мелкая часть предмета, в быту отдельно не называется	оконная рама
Fingerspitze	мелкая часть предмета, в быту отдельно не называется	кончик пальца
Flügel	мелкая часть предмета, в быту отдельно не называется	створка окна/двери
Hauptschalter	мелкая часть предмета, в быту отдельно не называется	главный выключатель
Innenwand	мелкая часть предмета, в быту отдельно не называется	внутренняя стена
Kühlschrankthermometer	мелкая часть предмета, в быту отдельно не называется	термометр для холодильника
Mundwinkel	мелкая часть предмета, в быту отдельно не называется	угол рта
Niet	мелкая часть предмета, в быту отдельно не называется	заклёпка
Schuppe	мелкая часть предмета, в быту отдельно не называется	чешуйка (кожи)
Sims	мелкая часть предмета, в быту отдельно не называется	карниз, выступ
Sockel	мелкая часть предмета, в быту отдельно не называется	цоколь
Spann	мелкая часть предмета, в быту отдельно не называется	подъем стопы
Sturz	мелкая часть предмета, в быту отдельно не называется	перемычка
Türrahmen	мелкая часть предмета, в быту отдельно не называется	дверная рама
Türöffner	мелкая часть предмета, в быту отдельно не называется	дверной открыватель
Zerhacker	мелкая часть предмета, в быту отдельно не называется	измельчитель
Überlauf	мелкая часть предмета, в быту отдельно не называется	перелив (отверстие)

